Unnið úr skrá: spjallbord_combined.txt
Heildarfjöldi orða úr orðasafni: 2846600
Orð                           Tíðni
-----------------------------------
á                             358360
ekki                          265664
þá                            107096
var                           100069
ef                            75313
vera                          54429
sé                            46537
mig                           37537
maður                         36341
já                            33136
væri                          31076
nú                            31052
fá                            28177
vel                           25538
úr                            24484
veit                          24037
fólk                          20840
taka                          19578
verður                        19101
meira                         18865
sig                           17733
of                            17395
fer                           17124
koma                          16876
nei                           16348
þær                           14365
rétt                          14093
sjá                           13970
gott                          13586
get                           13433
tala                          12847
verð                          12691
tíma                          11969
gæti                          11561
geta                          11444
enn                           11327
eiga                          10067
ára                           9254
vita                          9074
halda                         8834
bíll                          8526
gaman                         8368
okkur                         8336
mynd                          8318
hver                          8199
ár                            8041
niður                         7784
mál                           7582
lagi                          7432
grein                         7325
sinni                         7273
átt                           7240
minni                         6981
milli                         6921
vinna                         6880
man                           6804
ok                            6138
jú                            5952
selja                         5927
vél                           5611
heima                         5281
leið                          5176
spá                           5150
skil                          5142
máli                          5102
spurning                      5006
vil                           4943
ná                            4921
vá                            4903
skipti                        4768
mæli                          4653
senda                         4612
fyrsta                        4611
illa                          4572
sett                          4411
spila                         4252
gerði                         4225
bíla                          4099
skoðun                        3984
snilld                        3943
góða                          3931
dæmi                          3921
hluti                         3877
komin                         3767
for                           3679
skiptir                       3659
gamla                         3658
manni                         3600
úti                           3591
þúsund                        3542
breyta                        3518
dekk                          3515
horfa                         3490
sumar                         3356
síma                          3354
inni                          3338
efni                          3308
hugmynd                       3271
kall                          3196
ferð                          3181
vonandi                       3158
ljós                          3118
ný                            3118
sinn                          3107
samband                       3098
hætta                         3095
mundi                         3092
sjálf                         3065
segi                          3021
búa                           3004
ganga                         2959
eyða                          2937
næsta                         2933
gat                           2904
djöfull                       2897
færð                          2884
raun                          2856
tilboð                        2804
ári                           2802
kort                          2753
mer                           2669
pæla                          2657
vandamál                      2547
barn                          2534
tæki                          2530
landi                         2454
lækkun                        2449
ræða                          2437
kvöld                         2398
eigin                         2392
benda                         2389
vesen                         2332
ábyrgð                        2329
kalla                         2290
kveðja                        2274
ráð                           2267
haft                          2262
gaur                          2219
lag                           2162
orð                           2154
helvíti                       2119
hringja                       2101
mótor                         2064
prufa                         2033
skjákort                      2011
sent                          2002
svar                          1996
elska                         1971
kerfi                         1956
guð                           1941
viti                          1931
vinur                         1918
sleppa                        1912
not                           1904
skilja                        1898
tími                          1890
áhrif                         1879
set                           1872
eð                            1859
baka                          1851
fyrirtæki                     1830
drasl                         1828
lög                           1828
bera                          1818
rugl                          1797
helgi                         1784
hey                           1747
munur                         1730
versla                        1721
fylgja                        1685
viðkomandi                    1678
ansi                          1674
dettur                        1663
árgerð                        1659
missa                         1654
opna                          1644
færi                          1628
or                            1622
klára                         1619
setur                         1613
lenda                         1600
mæla                          1593
manna                         1590
fíla                          1577
full                          1569
tengi                         1560
mamma                         1548
leika                         1536
pabbi                         1525
tónlist                       1521
velta                         1519
vikur                         1504
at                            1497
þrátt                         1482
dót                           1480
virði                         1477
drekka                        1475
megin                         1474
mat                           1468
gætir                         1444
heimi                         1441
land                          1436
færa                          1435
jón                           1422
númer                         1413
skella                        1407
draga                         1405
bensín                        1394
skipt                         1388
kona                          1387
drepa                         1373
dýr                           1369
leikur                        1362
akureyri                      1345
trú                           1343
sami                          1337
líf                           1328
álit                          1321
trúa                          1318
verðhugmynd                   1315
bull                          1308
meðal                         1308
náð                           1298
ísland                        1289
kaupi                         1289
þráður                        1287
borð                          1287
ástæða                        1282
loka                          1276
boði                          1276
nafn                          1262
helling                       1257
hjálp                         1257
félagi                        1254
mála                          1250
notkun                        1245
merki                         1238
stærð                         1232
vilji                         1229
rök                           1228
vit                           1220
stóð                          1217
besti                         1192
leyfi                         1185
lífi                          1170
vatn                          1158
hjól                          1155
pláss                         1152
vin                           1152
ber                           1151
server                        1146
lið                           1143
keyrir                        1138
þurft                         1130
diskur                        1129
hljóð                         1119
hita                          1117
rétta                         1115
greiða                        1112
sæti                          1109
líkur                         1109
græja                         1107
sími                          1101
mesta                         1091
nótt                          1082
áfengi                        1074
vetur                         1073
skilaboð                      1050
rúmlega                       1050
braut                         1050
vinstri                       1048
langan                        1045
búð                           1042
skrá                          1038
svartur                       1031
stilla                        1031
bý                            1030
séns                          1028
saga                          1027
gerð                          1024
byrjun                        1021
manneskja                     1020
muni                          1016
plús                          1016
deila                         1005
von                           996
sprauta                       984
bók                           984
drif                          982
púst                          979
mar                           973
hár                           963
bróðir                        954
hús                           948
breytir                       944
skjár                         943
bil                           943
átta                          932
laun                          929
nenna                         926
foreldrar                     923
litur                         918
mæti                          917
viðbót                        914
æ                             905
nennir                        904
tegund                        901
original                      899
stykki                        899
kassi                         898
bjór                          898
nefna                         898
her                           896
stig                          890
býr                           885
verst                         879
keppni                        877
grín                          874
lista                         871
boð                           870
stjórn                        864
svæði                         862
lyf                           861
leit                          860
leiti                         860
hendi                         854
ákveða                        853
óþarfi                        848
lausn                         847
tækifæri                      841
hlið                          840
djók                          839
gata                          838
reynir                        829
leyti                         827
heita                         824
möguleiki                     820
tjá                           811
æði                           810
valdi                         804
an                            801
stelpa                        800
box                           798
les                           796
gír                           792
staðreynd                     789
aðstæður                      788
staði                         784
milljón                       780
svalur                        780
væla                          777
kjaftæði                      776
stöð                          775
nafni                         775
ofbeldi                       774
sinna                         771
síða                          770
dont                          767
snillingur                    767
vinnsluminni                  766
loft                          766
verkefni                      766
rafmagn                       764
leiðir                        763
skemma                        763
bað                           762
tilfelli                      761
föt                           757
virki                         755
sjónvarp                      752
skildi                        751
mars                          744
íbúð                          742
lán                           740
bónus                         739
lyklaborð                     734
bak                           732
tölva                         731
fýla                          730
leiðandi                      730
bar                           729
ati                           728
reynsla                       722
sport                         721
konar                         716
lýsa                          712
blanda                        711
aldur                         705
mark                          702
spara                         698
heimili                       695
ýta                           693
sendir                        692
höfuð                         690
vinkona                       685
slá                           685
grand                         684
jól                           683
aðal                          680
eyðir                         679
atriði                        678
verkstæði                     677
umræða                        675
vara                          670
mistök                        670
vega                          670
stýrikerfi                    662
gítar                         662
röð                           659
módel                         658
meta                          652
sanna                         650
rusl                          644
heiti                         643
systir                        642
þörf                          642
eigandi                       640
grind                         639
im                            639
sátt                          638
örgjörvi                      636
innilega                      634
keyri                         628
net                           627
hæð                           626
ákvörðun                      626
rúm                           625
kaffi                         625
renna                         625
lok                           624
umferð                        623
langa                         621
myndband                      620
reka                          617
próf                          616
aðstoð                        616
port                          613
fokk                          608
staður                        607
gildir                        606
græða                         606
val                           600
kveikja                       599
far                           597
hljómsveit                    597
apríl                         595
herbergi                      595
einasta                       595
per                           594
hóp                           594
athygli                       593
selur                         589
kostur                        588
frelsi                        586
veður                         581
aflgjafi                      580
sótt                          580
stund                         578
auki                          578
stríð                         566
rauða                         565
bið                           565
frí                           560
verja                         559
klár                          558
burt                          558
drengur                       558
marr                          556
punktur                       555
þjónusta                      554
blása                         550
leiðindi                      548
brenna                        543
band                          543
kæra                          542
fimm                          541
gæði                          541
verk                          539
hissa                         539
ástand                        538
ógeð                          537
öryggi                        537
strákur                       535
hanga                         534
mús                           533
aðgerð                        532
pæling                        531
drulla                        529
plata                         529
haust                         527
kaup                          526
hvíta                         526
frétt                         525
sætur                         524
tal                           523
brot                          523
dóttir                        522
sonur                         522
einelti                       520
hegðun                        520
