Unnið úr skrá: mbl_export_200000.txt
Heildarfjöldi orða úr orðasafni: 18977002
Orð                           Tíðni
-----------------------------------
að                            1497027
í                             1496038
á                             1062091
og                            1052564
sem                           583130
er                            517594
um                            437828
til                           421061
við                           394070
en                            333457
var                           281427
fyrir                         251343
ekki                          249033
það                           248303
með                           221749
hann                          220065
því                           208921
af                            199110
frá                           172215
hafa                          168302
þar                           140915
fram                          118827
eftir                         118798
þá                            108460
þetta                         108208
sé                            98700
hún                           94949
þegar                         91159
vegna                         76499
eða                           75662
sér                           75156
ég                            74651
úr                            71972
yfir                          68701
upp                           68333
nú                            65021
verður                        59644
út                            53085
svo                           50155
hjá                           49998
væri                          47609
vera                          47077
einnig                        46841
sig                           46488
ára                           46343
eins                          41161
samkvæmt                      40506
undir                         36563
meðal                         35714
ár                            34469
koma                          34371
inn                           33919
þó                            32929
mjög                          32231
ef                            31908
enn                           30902
áður                          30631
hvort                         30407
taka                          30366
gær                           29714
tíma                          29253
fara                          28975
þær                           28696
fólk                          28083
frétt                         27686
gegn                          27302
hér                           27049
annars                        26562
milli                         26433
síðan                         26121
gera                          25933
sögn                          25662
verða                         24917
hægt                          24715
má                            24693
ári                           24168
sinni                         23807
ræða                          23410
vel                           23324
segja                         23050
einn                          22790
fá                            22639
saman                         22477
þannig                        22217
mikið                         21711
áfram                         21076
heldur                        20752
þúsund                        20724
aftur                         20396
sama                          20319
mál                           19746
hvað                          19033
aðeins                        19032
niður                         18619
geta                          18129
hálka                         17924
sjá                           17916
halda                         17806
leið                          17561
fyrr                          17330
okkur                         17244
króna                         17184
landi                         17156
fimm                          16938
þessi                         16741
hvernig                       16435
fer                           16321
víða                          16069
fyrsta                        15845
haft                          15595
eiga                          15561
auk                           15500
muni                          15340
nótt                          15337
bara                          15270
sinn                          15260
átt                           15101
bæði                          14957
rétt                          14915
kvöld                         14901
hana                          14699
sá                            14633
meira                         14516
innan                         14459
án                            14376
stjórnvöld                    13976
maður                         13959
alls                          13845
tveir                         13584
formaður                      13315
áhrif                         13214
daga                          13200
vinna                         13174
enda                          12855
of                            12488
ráð                           12430
vilja                         12410
síðar                         12346
gæti                          12330
eigi                          12247
sex                           12178
utan                          12174
ákvörðun                      11892
forsætisráðherra              11845
aldrei                        11613
forseti                       11540
fyrst                         11473
stjórn                        11418
máli                          11396
finna                         11203
rannsókn                      11174
jafnframt                     11098
ar                            11092
leggja                        11079
meðan                         10967
ná                            10934
næsta                         10852
ásamt                         10690
munu                          10648
fyrrverandi                   10581
standa                        10421
móti                          10411
ljóst                         10315
gerð                          10101
heim                          9997
ganga                         9949
ljós                          9898
þrátt                         9848
fangelsi                      9708
snjóþekja                     9661
gegnum                        9639
líka                          9609
sett                          9593
hluti                         9525
hluta                         9514
alþingi                       9459
lögregla                      9419
borð                          9369
ákveðið                       9079
greiða                        9064
sérstaklega                   9034
jón                           8963
enginn                        8890
tíu                           8687
sæti                          8679
heimili                       8679
umfjöllun                     8656
ný                            8605
hver                          8558
átta                          8520
rúmlega                       8440
kjölfar                       8435
nokkuð                        8421
ísland                        8396
þurfi                         8392
land                          8336
mars                          8329
ein                           8328
hátt                          8312
stig                          8302
manna                         8231
reyna                         8196
láta                          8175
alltaf                        8151
telja                         8093
gefa                          8026
sjö                           7996
svona                         7975
júní                          7957
þurfa                         7860
janúar                        7823
september                     7791
maí                           7787
akureyri                      7767
oft                           7705
sýna                          7640
núna                          7640
nóvember                      7593
frekar                        7580
október                       7577
desember                      7563
mig                           7510
samþykkt                      7496
lög                           7443
handtekinn                    7439
ríki                          7415
setja                         7404
barna                         7360
erfitt                        7326
hversu                        7297
nema                          7281
þrír                          7278
draga                         7268
alveg                         7250
undan                         7233
lífi                          7216
miklu                         7192
ágúst                         7129
jafnvel                       7113
mikill                        7064
framkvæmdastjóri              7014
sinna                         6992
ætla                          6973
grein                         6960
hvaða                         6873
júlí                          6870
samband                       6868
mikla                         6865
apríl                         6809
annar                         6808
ábyrgð                        6800
hinn                          6798
gerði                         6796
fjöldi                        6793
hætta                         6789
helgi                         6726
sumar                         6723
athygli                       6701
allra                         6684
fyrri                         6661
nokkur                        6653
staðar                        6653
aðstæður                      6633
tryggja                       6619
bendir                        6614
stóð                          6605
nota                          6596
eina                          6589
lítið                         6584
afar                          6566
nýja                          6529
verkefni                      6514
gott                          6488
þarna                         6450
ríkisstjórn                   6432
búa                           6392
leita                         6368
þingmaður                     6358
lok                           6344
febrúar                       6319
ráðherra                      6315
öllu                          6262
gildi                         6200
brot                          6174
eigin                         6105
skoða                         6097
nær                           6059
bera                          6059
breska                        6000
líkt                          5949
dæmdur                        5873
minni                         5868
von                           5847
íslenska                      5821
komin                         5793
þú                            5788
starfsemi                     5786
starfa                        5752
níu                           5727
ber                           5725
langt                         5718
umferð                        5709
tæplega                       5699
kona                          5667
ofbeldi                       5656
svæði                         5639
strax                         5618
veita                         5592
aðstoð                        5591
inni                          5585
hiti                          5581
flytja                        5568
skipti                        5555
vita                          5539
mat                           5509
bætir                         5410
hvar                          5409
raun                          5403
lengi                         5388
auka                          5375
fær                           5368
fyrirtæki                     5353
varðandi                      5348
náð                           5330
þótt                          5310
skafrenningur                 5306
leyti                         5292
sækja                         5258
gagnvart                      5230
úti                           5227
illa                          5214
embætti                       5201
páll                          5158
leit                          5146
efni                          5116
senda                         5111
milljón                       5086
hingað                        5048
sent                          5047
kringum                       5038
starfi                        5029
gengur                        5022
lagi                          5011
utanríkisráðherra             4979
ofan                          4975
bæta                          4952
þangað                        4926
tilefni                       4914
bjóða                         4912
bifreið                       4901
fylgi                         4859
minna                         4855
tala                          4852
né                            4844
einungis                      4837
mynd                          4811
einhver                       4811
ljósi                         4807
hlaut                         4775
metra                         4753
einkum                        4735
uppi                          4709
ferð                          4707
notkun                        4673
talsmaður                     4657
atkvæði                       4615
staðinn                       4613
liggja                        4598
auðvitað                      4543
veður                         4516
samræmi                       4498
síðdegis                      4493
fé                            4487
grunaður                      4475
kominn                        4468
beint                         4460
niðurstaða                    4460
fjórir                        4455
vikur                         4443
verð                          4432
kaupa                         4418
skóla                         4416
alvarlega                     4410
þurft                         4404
mynda                         4395
baka                          4390
bana                          4362
dæmi                          4328
mála                          4314
hvert                         4313
hús                           4270
sjálfur                       4257
stór                          4239
norður                        4236
björn                         4219
