Unnið úr skrá: mbl_export_200000.txt
Heildarfjöldi orða úr orðasafni: 6184808
Orð                           Tíðni
-----------------------------------
á                             1062091
var                           281427
ekki                          249033
þá                            108460
sé                            98700
úr                            71972
nú                            65021
verður                        59644
væri                          47609
vera                          47077
sig                           46488
ára                           46343
meðal                         35714
ár                            34469
koma                          34371
ef                            31908
enn                           30902
taka                          30366
tíma                          29253
þær                           28696
fólk                          28083
frétt                         27686
milli                         26433
sögn                          25662
ári                           24168
sinni                         23807
ræða                          23410
vel                           23324
fá                            22639
þúsund                        20724
mál                           19746
niður                         18619
geta                          18129
hálka                         17924
sjá                           17916
halda                         17806
leið                          17561
okkur                         17244
landi                         17156
fimm                          16938
fer                           16321
fyrsta                        15845
haft                          15595
eiga                          15561
muni                          15340
nótt                          15337
sinn                          15260
átt                           15101
rétt                          14915
kvöld                         14901
meira                         14516
stjórnvöld                    13976
maður                         13959
formaður                      13315
áhrif                         13214
vinna                         13174
of                            12488
ráð                           12430
gæti                          12330
sex                           12178
ákvörðun                      11892
forsætisráðherra              11845
forseti                       11540
stjórn                        11418
máli                          11396
rannsókn                      11174
ar                            11092
ná                            10934
næsta                         10852
gerð                          10101
ganga                         9949
ljós                          9898
þrátt                         9848
fangelsi                      9708
snjóþekja                     9661
sett                          9593
hluti                         9525
alþingi                       9459
lögregla                      9419
borð                          9369
greiða                        9064
jón                           8963
sæti                          8679
heimili                       8679
umfjöllun                     8656
ný                            8605
hver                          8558
átta                          8520
rúmlega                       8440
kjölfar                       8435
ísland                        8396
land                          8336
mars                          8329
stig                          8302
manna                         8231
sjö                           7996
akureyri                      7767
mig                           7510
samþykkt                      7496
lög                           7443
ríki                          7415
draga                         7268
lífi                          7216
framkvæmdastjóri              7014
sinna                         6992
grein                         6960
samband                       6868
apríl                         6809
ábyrgð                        6800
gerði                         6796
fjöldi                        6793
hætta                         6789
helgi                         6726
sumar                         6723
athygli                       6701
aðstæður                      6633
stóð                          6605
verkefni                      6514
gott                          6488
ríkisstjórn                   6432
búa                           6392
þingmaður                     6358
lok                           6344
ráðherra                      6315
gildi                         6200
brot                          6174
eigin                         6105
bera                          6059
minni                         5868
von                           5847
komin                         5793
starfsemi                     5786
ber                           5725
umferð                        5709
kona                          5667
ofbeldi                       5656
svæði                         5639
veita                         5592
aðstoð                        5591
inni                          5585
hiti                          5581
skipti                        5555
vita                          5539
mat                           5509
bætir                         5410
raun                          5403
fyrirtæki                     5353
náð                           5330
skafrenningur                 5306
leyti                         5292
úti                           5227
illa                          5214
embætti                       5201
páll                          5158
leit                          5146
efni                          5116
senda                         5111
milljón                       5086
sent                          5047
starfi                        5029
lagi                          5011
utanríkisráðherra             4979
tilefni                       4914
bifreið                       4901
fylgi                         4859
tala                          4852
mynd                          4811
ljósi                         4807
hlaut                         4775
metra                         4753
ferð                          4707
notkun                        4673
talsmaður                     4657
atkvæði                       4615
veður                         4516
samræmi                       4498
fé                            4487
niðurstaða                    4460
vikur                         4443
verð                          4432
þurft                         4404
baka                          4390
dæmi                          4328
mála                          4314
hús                           4270
norður                        4236
björn                         4219
viðkomandi                    4212
tonn                          4170
tækifæri                      4149
líf                           4072
vilji                         4044
meðferð                       4043
þróun                         3964
suður                         3920
heild                         3914
öryggi                        3913
lík                           3887
leiða                         3885
hæstiréttur                   3862
byrjun                        3853
aðild                         3839
leiðir                        3806
breyta                        3772
vinstri                       3769
opna                          3760
akstur                        3758
barn                          3748
árás                          3711
vitni                         3705
bar                           3696
heima                         3689
ökumaður                      3667
éljagangur                    3605
laun                          3600
forstjóri                     3598
þörf                          3568
hópur                         3529
hádegi                        3527
selja                         3518
benda                         3509
foreldrar                     3448
konar                         3446
haust                         3431
karlmaður                     3421
sjúkrahús                     3417
hóf                           3414
karl                          3413
markmið                       3412
loka                          3399
skoðun                        3373
framkvæmd                     3347
ástæða                        3340
leyfi                         3338
gat                           3336
innanríkisráðherra            3326
veit                          3312
an                            3290
manni                         3271
för                           3248
fjármálaráðherra              3233
tólf                          3215
parís                         3201
sviði                         3181
kalla                         3181
saksóknari                    3174
beita                         3174
húsnæði                       3168
móðir                         3151
hækkun                        3116
framtíð                       3107
miðnætti                      3098
færi                          3075
málefni                       3075
hæð                           3072
góða                          3061
hendi                         3058
ástand                        3044
áætlun                        3038
síma                          3002
frumvarp                      3000
eftirlit                      2987
stuðning                      2980
hlutverk                      2972
héraðsdómur                   2971
þæfingsfærð                   2971
samtök                        2967
líkur                         2961
leggur                        2948
lista                         2932
eldur                         2910
auki                          2909
lið                           2893
bréf                          2891
höfuðborg                     2882
beri                          2875
dagskrá                       2873
kanna                         2867
fylgja                        2857
verk                          2851
staða                         2848
hlutfall                      2830
meirihluti                    2815
sjálf                         2808
faðir                         2800
bak                           2788
samkomulag                    2788
starf                         2778
horfa                         2775
bíla                          2774
hönd                          2774
gamla                         2773
meta                          2763
færa                          2761
vor                           2753
rekja                         2753
sótt                          2748
ingi                          2742
skaut                         2737
samstarf                      2701
könnun                        2689
rigning                       2666
flug                          2664
lán                           2661
starfsfólk                    2658
ákvæði                        2656
austur                        2653
ályktun                       2649
tæki                          2627
árangur                       2624
samskipti                     2624
ríkja                         2613
heimild                       2599
stofnun                       2590
nágrenni                      2574
orð                           2568
býr                           2559
íbúð                          2555
móður                         2553
útlit                         2548
rekstur                       2547
skref                         2535
nefna                         2513
sök                           2510
stærð                         2467
greinir                       2457
heimsókn                      2454
vandamál                      2449
lausn                         2446
snjókoma                      2441
tengsl                        2437
dagur                         2435
valdi                         2431
nám                           2429
nafn                          2427
hundrað                       2416
slys                          2410
vatn                          2403
röð                           2398
beiðni                        2378
rauða                         2377
frost                         2374
skilyrði                      2372
staðfesti                     2370
ummæli                        2361
erindi                        2357
vetur                         2355
vil                           2353
tími                          2351
kostnaður                     2344
tilkynning                    2342
prósent                       2338
óveður                        2332
framboð                       2294
boði                          2289
geir                          2286
yfirmaður                     2276
stefna                        2251
höfði                         2234
skip                          2230
morð                          2227
hinna                         2221
verja                         2219
átök                          2218
magn                          2213
vanda                         2206
sýni                          2201
áhersla                       2189
lýsa                          2188
veðri                         2168
hvarf                         2165
mesta                         2156
tilraun                       2155
nafni                         2150
birti                         2148
slysadeild                    2144
færð                          2139
for                           2133
leiðtogi                      2131
skiptir                       2129
langan                        2119
starfsmaður                   2112
skilja                        2103
lá                            2095
gagnrýni                      2095
hóp                           2090
strætó                        2090
klukkustund                   2087
verslun                       2084
trú                           2080
loft                          2074
hótel                         2073
nefnd                         2072
semja                         2072
byggð                         2063
get                           2063
skilaboð                      2050
pétur                         2037
tjá                           2034
lögmaður                      2029
borg                          2007
sigur                         2004
fundur                        2003
lilja                         2003
verkfall                      2000
merki                         1989
tjón                          1985
atriði                        1983
landa                         1968
él                            1963
sonur                         1958
